"ITV: Albox , Poligono Ind Tardigueras S/N ";"Almería ";"Albox ";"Poligono Ind Tardigueras S/N ";"+34 950 523 401 "
"ITV: Albox , P. I. Albox - Área Servicio al Transporte  ";"Almería ";"Albox ";"P. I. Albox - Área Servicio al Transporte  ";"+34 950 639 663 "
"ITV: Berja , Autovía Mediterráneo, junto cruce Balanegra.  ";"Almería ";"Berja ";"Autovía Mediterráneo, junto cruce Balanegra.  ";"+34 950 579 700 "
"ITV: Huércal de Almería , Calle Castillo De Velez Blanco 3 ";"Almería ";"Huércal de Almería ";"Calle Castillo De Velez Blanco 3 ";"+34 950 301 498 "
"ITV: Huercal de Almería , Ctra. N-340, Km. 121 Paraje de Zamarula  ";"Almería ";"Huercal de Almería ";"Ctra. N-340, Km. 121 Paraje de Zamarula  ";"+34 950 156 410 "
"ITV: Huercal de Almería , Paraje de la Cepa, 50  ";"Almería ";"Huercal de Almería ";"Paraje de la Cepa, 50  ";"+34 950 153 360 "
"ITV: Vélez Rubio , P.I. Vélez Rubio; C/ Industria parcelas 55 B - 56 B  ";"Almería ";"Vélez Rubio ";"P.I. Vélez Rubio; C/ Industria parcelas 55 B - 56 B  ";"+34 950 419 572 "
"ITV: Vera , Autovía Mediterráneo, salida 529, C.N. 340, Km.527  ";"Almería ";"Vera ";"Autovía Mediterráneo, salida 529, C.N. 340, Km.527  ";"+34 950 474 700 "
"ITV: Vícar , Ctra N. 340 - P. I. El Cosario; s/n   ";"Almería ";"Vícar ";"Ctra N. 340 - P. I. El Cosario; s/n   ";"+34 950 153 220 "
"ITV: Algeciras , Calle los Deseos 2 ";"Cádiz ";"Algeciras ";"Calle los Deseos 2 ";"902 221 222 "
"ITV: Cádiz , Calle Alcala De Los Gazules 23 ";"Cádiz ";"Cádiz ";"Calle Alcala De Los Gazules 23 ";"+34 956 252 590 "
"ITV: Chipiona , Ctra. Chipiona a Sanlucar, Km. 11 Ctra. Intercomarcal A-480, Pinar Martin   ";"Cádiz ";"Chipiona ";"Ctra. Chipiona a Sanlucar, Km. 11 Ctra. Intercomarcal A-480, Pinar Martin   ";"+ 34 956 386 61 "
"ITV: El Puerto de Santa María , Carretera Madrid-cadiz S/N ";"Cádiz ";"El Puerto de Santa María ";"Carretera Madrid-cadiz S/N ";"+34 956 860 138 "
"ITV: Jerez de la Frontera , Calle Divina Pastora S/N ";"Cádiz ";"Jerez de la Frontera ";"Calle Divina Pastora S/N ";"+34 956 344 780 "
"ITV: Jerez de la Frontera , P.I.El Portal/Alcalde Manuel Cantos Ropero. ";"Cádiz ";"Jerez de la Frontera ";"P.I.El Portal/Alcalde Manuel Cantos Ropero. ";"+34 956 814 234 "
"ITV: Puerto Real , Poligono Ind Tres Caminos S/N ";"Cádiz ";"Puerto Real ";"Poligono Ind Tres Caminos S/N ";"+34 956 590 708 "
"ITV: San Fernando , C/ Santo Entierro, 28.  ";"Cádiz ";"San Fernando ";"C/ Santo Entierro, 28.  ";"+34 956 818 410 "
"ITV: Villamartín , Lugar Poligono El Chaparral S/N ";"Cádiz ";"Villamartín ";"Lugar Poligono El Chaparral S/N ";"+34 956 715 273 "
"ITV: Villamartín , P. I. El Chaparra, s/n  ";"Cádiz ";"Villamartín ";"P. I. El Chaparra, s/n  ";"+34 956 709 771 "
"ITV: Baena , Área de Tptes. P.I. Los Llanos, s/n ";"Córdoba ";"Baena ";"Área de Tptes. P.I. Los Llanos, s/n ";"+34 957 699 933 "
"ITV: Córdoba , Carretera Silo S/N ";"Córdoba ";"Córdoba ";"Carretera Silo S/N ";"+34 957 567 073 "
"ITV: Córdoba , Calle Ingeniero Torroja Y Miret S/N ";"Córdoba ";"Córdoba ";"Calle Ingeniero Torroja Y Miret S/N ";"+34 957 202 743 "
"ITV: Córdoba , Plaza Poligono Industrial Torre S/N ";"Córdoba ";"Córdoba ";"Plaza Poligono Industrial Torre S/N ";"+34 957 203 742 "
"ITV: Córdoba , Ingeniero Torres Quevedo, s/n.  ";"Córdoba ";"Córdoba ";"Ingeniero Torres Quevedo, s/n.  ";"+34 957 352 590 "
"ITV: Córdoba , Ingeniero Torroja Miret, s/n.  ";"Córdoba ";"Córdoba ";"Ingeniero Torroja Miret, s/n.  ";"+34 957 352 425 "
"ITV: Lucena , Carretera N-331 S/N ";"Córdoba ";"Lucena ";"Carretera N-331 S/N ";"+34 957 596 696 "
"ITV: Lucena , Ctra. N-331 km 69,5 junto al P.I.  ";"Córdoba ";"Lucena ";"Ctra. N-331 km 69,5 junto al P.I.  ";"+34 957 596 694 "
"ITV: Peñarroya-Pueblonuevo , Carretera del Silo S/N ";"Córdoba ";"Peñarroya-Pueblonuevo ";"Carretera del Silo S/N ";"+34 957 567 168 "
"ITV: Peñarroya-Pueblonuevo , Ctra. Al Silo, s/n. Ctra. Prov. 238 s/n ";"Córdoba ";"Peñarroya-Pueblonuevo ";"Ctra. Al Silo, s/n. Ctra. Prov. 238 s/n ";"+34 957 579 620 "
"ITV: Pozoblanco , P. I. Dehesa Boyal, parcela 57. ";"Córdoba ";"Pozoblanco ";"P. I. Dehesa Boyal, parcela 57. ";"+34 957 139 662 "
"ITV: Baza , Carretera Granada S/N ";"Granada ";"Baza ";"Carretera Granada S/N ";"+34 958 342 098 "
"ITV: Loja , Poligono Industrial Manzanil Dos S/N ";"Granada ";"Loja ";"Poligono Industrial Manzanil Dos S/N ";"902575757 "
"ITV: Huelva , Avenida Francisco Montenegro 11 ";"Huelva ";"Huelva ";"Avenida Francisco Montenegro 11 ";"+34 959 258 075 "
"ITV: San Juan del Puerto , Carretera Trigueros De S/N ";"Huelva ";"San Juan del Puerto ";"Carretera Trigueros De S/N ";"+34 959 367 070 "
"ITV: Alcalá la Real , Carretera A-339 P.Km.48'600  ";"Jaén ";"Alcalá la Real ";"Carretera A-339 P.Km.48'600  ";"+34 953 599 630 "
"ITV: Andújar , P.I. Ave María Ctra A-4 km 317  ";"Jaén ";"Andújar ";"P.I. Ave María Ctra A-4 km 317  ";"+34 953 538 310 "
"ITV: Málaga , Calle Diderot 1 ";"Málaga ";"Málaga ";"Calle Diderot 1 ";"+34 952 171 579 "
"ITV: Málaga , C/ Carlo Goldoni, 17 ";"Málaga ";"Málaga ";"C/ Carlo Goldoni, 17 ";"+34 951 917 072 "
"ITV: Málaga , Calle Frigiliana 37 ";"Málaga ";"Málaga ";"Calle Frigiliana 37 ";"+34 952 324 174 "
"ITV: Mijas , Camino Molino de Viento, 16 ";"Málaga ";"Mijas ";"Camino Molino de Viento, 16 ";"951 917 065 "
"ITV: San Pedro de Alcántara , Pol Ind. San Pedro de Alcántara, Parcela 25 ";"Málaga ";"San Pedro de Alcántara ";"Pol Ind. San Pedro de Alcántara, Parcela 25 ";"951 21 69 91 "
"ITV: Alcalá de Guadaira , Ctra. Alcalá - Dos Hermanas, Km 4.5 ";"Sevilla ";"Alcalá de Guadaira ";"Ctra. Alcalá - Dos Hermanas, Km 4.5 ";"955 12 01 47 "
"ITV: Carmona , Poligono Industrial Pilero S/N ";"Sevilla ";"Carmona ";"Poligono Industrial Pilero S/N ";"+34 954 191 299 "
"ITV: Lebrija , Avenida Andalucia 81 ";"Sevilla ";"Lebrija ";"Avenida Andalucia 81 ";"955 139 098 "
"ITV: Morón de la Frontera , P.I. Juan Macho, C/ Serigrafía 6 ";"Sevilla ";"Morón de la Frontera ";"P.I. Juan Macho, C/ Serigrafía 6 ";"955 54 05 34 "
"ITV: Utrera , Poligono El Torno S/N ";"Sevilla ";"Utrera ";"Poligono El Torno S/N ";"+34 954 862 551 "
"ITV: Baza , Autovía A-92 P.K. 194.  ";"Granada ";"Baza ";"Autovía A-92 P.K. 194.  ";"+34 958 869 900 "
"ITV: Granada , Av. de Andalucia, s/n.  ";"Granada ";"Granada ";"Av. de Andalucia, s/n.  ";"+34 958 897 420 "
"ITV: Guadix , Centro de Transporte de Mercancias, junto a la A-92.  ";"Granada ";"Guadix ";"Centro de Transporte de Mercancias, junto a la A-92.  ";"+34 958 699 711 "
"ITV: Huéscar , P.I. La Encantada. ";"Granada ";"Huéscar ";"P.I. La Encantada. ";"+34 958 729 550 "
"ITV: Las Gabias , Ctra Intercomarcal A-338 tramo Las Gabias-La Malahá (Pje de la Crta del Galgo) ";"Granada ";"Las Gabias ";"Ctra Intercomarcal A-338 tramo Las Gabias-La Malahá (Pje de la Crta del Galgo) ";"+34 958 894 562 "
"ITV: Motril , Ctra. Almería, km. 1,3. Apd. Correos 315.  ";"Granada ";"Motril ";"Ctra. Almería, km. 1,3. Apd. Correos 315.  ";"+34 958 649 668 "
"ITV: La Palma del condado , Centro de Serv. y Equip. Comarcal. ";"Huelva ";"La Palma del condado ";"Centro de Serv. y Equip. Comarcal. ";"+34 959 439 741 "
"ITV: Minas de Tharsis , P. I. Santabárbara, ";"Huelva ";"Minas de Tharsis ";"P. I. Santabárbara, ";"+34 959 397 640 "
"ITV: Zalamea la Real , P. I. El Tejarejo (C.N. 435)  ";"Huelva ";"Zalamea la Real ";"P. I. El Tejarejo (C.N. 435)  ";"+34 959 559 631 "
"ITV: Beas de segura , Pol. Industrial Cornicabral s.n. Cl. D  ";"Jaén ";"Beas de segura ";"Pol. Industrial Cornicabral s.n. Cl. D  ";"+34 953 429 667 "
"ITV: Guarromán , P. I. Guadiel, parcela 103 y 104  ";"Jaén ";"Guarromán ";"P. I. Guadiel, parcela 103 y 104  ";"+34 953 609 722 "
"ITV: Jaén , C/ Espeluy, Parcela 21 - Pol. Ind. Los Olivares  ";"Jaén ";"Jaén ";"C/ Espeluy, Parcela 21 - Pol. Ind. Los Olivares  ";"+34 953 313 851 "
"ITV: Quesada , Ctra. Intercomarcal A-315 km 30.7 (Paraje Carasol de la Vega )  ";"Jaén ";"Quesada ";"Ctra. Intercomarcal A-315 km 30.7 (Paraje Carasol de la Vega )  ";"+34 953 717 745 "
"ITV: Úbeda , Ctra Úbeda a Baeza A-316 Km. 0,4  ";"Jaén ";"Úbeda ";"Ctra Úbeda a Baeza A-316 Km. 0,4  ";"+34 953 779 490 "
"ITV: Algarrobo , Ctra Comarcal. MA-103, Km.1,9.  ";"Málaga ";"Algarrobo ";"Ctra Comarcal. MA-103, Km.1,9.  ";"+34 951 289 734 "
"ITV: Antequera , Cruce autovía a Málaga N-331 con N-342  ";"Málaga ";"Antequera ";"Cruce autovía a Málaga N-331 con N-342  ";"+34 952 712 302 "
"ITV: El Palo , C/ Escritor Fuentes y Cerda, 2.  ";"Málaga ";"El Palo ";"C/ Escritor Fuentes y Cerda, 2.  ";"+34 951 924 530 "
"ITV: Estepona , P.I. Estepona; C/ Graham Bell, 15.  ";"Málaga ";"Estepona ";"P.I. Estepona; C/ Graham Bell, 15.  ";"+34 951 975 381 "
"ITV: Guadalhorce , P.I. Guadalhorce, C/ Diderot, 1.  ";"Málaga ";"Guadalhorce ";"P.I. Guadalhorce, C/ Diderot, 1.  ";"+34 951 924 510 "
"ITV: Ronda , P.I. El Fuerte s/n; C/ Guadalquivir, 2.  ";"Málaga ";"Ronda ";"P.I. El Fuerte s/n; C/ Guadalquivir, 2.  ";"+34 952 169 490 "
